"filename", "language", "JavaScript", "Markdown", "JSON", "HTML", "Vue", "XML", "Python", "CSS", "comment", "blank", "total"
"d:\data\tt\myweb\expression\.eslintrc.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18
"d:\data\tt\myweb\expression\README.md", "Markdown", 0, 12, 0, 0, 0, 0, 0, 0, 4, 6, 22
"d:\data\tt\myweb\expression\babel.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\data\tt\myweb\expression\emailTemplate.html", "HTML", 0, 0, 0, 918, 0, 0, 0, 0, 10, 134, 1062
"d:\data\tt\myweb\expression\package-lock.json", "JSON", 0, 0, 28872, 0, 0, 0, 0, 0, 0, 1, 28873
"d:\data\tt\myweb\expression\package.json", "JSON", 0, 0, 33, 0, 0, 0, 0, 0, 0, 1, 34
"d:\data\tt\myweb\expression\public\Element_custom_theme\config.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\data\tt\myweb\expression\public\Element_custom_theme\theme\index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\data\tt\myweb\expression\public\index.html", "HTML", 0, 0, 0, 16, 0, 0, 0, 0, 2, 1, 19
"d:\data\tt\myweb\expression\public\tutorial.files\filelist.xml", "XML", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2
"d:\data\tt\myweb\expression\python\NCNR_CG_DP.py", "Python", 0, 0, 0, 0, 0, 0, 163, 0, 19, 65, 247
"d:\data\tt\myweb\expression\python\NCNR_CG_Pre.py", "Python", 0, 0, 0, 0, 0, 0, 97, 0, 5, 30, 132
"d:\data\tt\myweb\expression\python\test.py", "Python", 0, 0, 0, 0, 0, 0, 140, 0, 16, 61, 217
"d:\data\tt\myweb\expression\src\App.vue", "Vue", 0, 0, 0, 0, 205, 0, 0, 0, 46, 14, 265
"d:\data\tt\myweb\expression\src\assets\css\bootstrap.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 5770, 5, 5, 5780
"d:\data\tt\myweb\expression\src\assets\css\bootstrap.min.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 6, 0, 7
"d:\data\tt\myweb\expression\src\assets\css\chocolat.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 110, 2, 0, 112
"d:\data\tt\myweb\expression\src\assets\css\flaticon-set.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 459, 5, 5, 469
"d:\data\tt\myweb\expression\src\assets\css\popuo-box.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 344, 14, 22, 380
"d:\data\tt\myweb\expression\src\assets\css\style.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 299, 248, 62, 609
"d:\data\tt\myweb\expression\src\assets\css\style1.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 6250, 277, 1236, 7763
"d:\data\tt\myweb\expression\src\assets\iconfont\demo.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 435, 19, 86, 540
"d:\data\tt\myweb\expression\src\assets\iconfont\demo_index.html", "HTML", 0, 0, 0, 231, 0, 0, 0, 0, 2, 25, 258
"d:\data\tt\myweb\expression\src\assets\iconfont\iconfont.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 22, 0, 6, 28
"d:\data\tt\myweb\expression\src\assets\iconfont\iconfont.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\data\tt\myweb\expression\src\assets\iconfont\iconfont.json", "JSON", 0, 0, 30, 0, 0, 0, 0, 0, 0, 1, 31
"d:\data\tt\myweb\expression\src\assets\js\bootstrap.bundle.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 6, 0, 7
"d:\data\tt\myweb\expression\src\assets\pdi\x.py", "Python", 0, 0, 0, 0, 0, 0, 5, 0, 3, 5, 13
"d:\data\tt\myweb\expression\src\assets\picture\1.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\data\tt\myweb\expression\src\assets\picture\2.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
