Annotation1,Annotation2,exp,pre
Dm4-211016469-211019024,Zm00001d053049,9.134285,1.5807773
Dm2-19907883-19917358,Zm00001d002710,0,1.1561317
Dm2-174851809-174854234,Zm00001d005455,0,0.9537992
Dm1-23700538-23702335,Zm00001d028130,29.39585,17.756271
Dm2-14781393-14784324,Zm00001d002540,51.4347,12.090098
Dm1-227634791-227639078,Zm00001d032467,0,4.9817553
Dm4-243037743-243040305,Zm00001d053886,5.666725,1.4065001
Dm10-122558830-122564345,Zm00001d025544,0,6.3409634
Dm1-283123750-283126748,Zm00001d034071,0,2.198047
Dm2-23019651-23025638,Zm00001d002799,0,1.2634621
Dm1-269822456-269824867,Zm00001d033655,17.44835,14.7891
Dm3-9521879-9523205,Zm00001d039631,11.59505,4.376945
Dm3-227284568-227291271,Zm00001d044409,3.448305,2.3881297
Dm4-244908010-244913608,Zm00001d054005,14.46985,4.623716
Dm9-93167317-93172574,Zm00001d046508,24.67945,3.037147
Dm4-169995951-169998149,Zm00001d051803,78.0771,78.71274
Dm8-27601601-27609541,Zm00001d008963,3.1141,9.405634
Dm6-99166257-99167924,Zm00001d036726,3.761635,1.3700504
Dm5-191940990-191943605,Zm00001d017290,5.93373,0.7741792
Dm2-117109041-117114168,Zm00001d004535,0,1.1951306
Dm4-7745366-7748310,Zm00001d048911,0,1.303038
Dm2-12538063-12543674,Zm00001d002432,6.30122,1.9470795
Dm8-169001947-169016148,Zm00001d012154,0.0883155,6.0066013
Dm1-92851810-92853358,Zm00001d029896,11.2894,3.8878944
Dm1-82086034-82088835,Zm00001d029669,0,0.81078494
Dm3-225035613-225041028,Zm00001d044314,0,2.646703
Dm2-63641334-63644768,Zm00001d003864,8.26341,7.7500243
Dm6-115751643-115756862,Zm00001d037207,0.7785405,8.450079
Dm1-31102967-31107802,Zm00001d028331,3.198945,0.90640485
Dm5-57108640-57110919,Zm00001d014641,4.146735,3.452405
Dm1-277965682-277968244,Zm00001d033898,1.064868,2.2341535
Dm10-128086623-128091075,Zm00001d025748,0,0.92328763
Dm4-236396908-236399898,Zm00001d053610,37.0206,16.62833
Dm8-20521769-20526278,Zm00001d008799,77.0201,56.837395
Dm4-5663332-5667428,Zm00001d048795,16.05125,7.5639687
Dm10-84047833-84050434,Zm00001d024697,0,0.603544
Dm6-132033620-132036623,Zm00001d037620,128.4615,139.31073
Dm10-4235800-4239722,Zm00001d023372,129.919,4.8513374
Dm8-92586541-92591752,Zm00001d009960,22.05845,15.122342
Dm9-11552512-11557646,Zm00001d045069,86.64865,3.5312853
Dm3-4111423-4116700,Zm00001d039427,17.07305,7.2733865
Dm3-113856632-113859674,Zm00001d041345,4.86349,7.0053334
