Annotation1,Annotation2,exp,pre,p-value
Dm8-79192724-79193813,Zm00001d009747,5.54483,7.698446,2.03E-06
Dm5-8285962-8286502,Zm00001d013306,3.868465,5.3784833,
Dm1-106186744-106187738,Zm00001d022787,0,11.214855,
Dm10-77070944-77072777,Zm00001d024534,12.1239,16.242495,
Dm7-6261788-6262778,Zm00001d018820,0.8583415,7.137022,
Dm3-58936509-58937996,Zm00001d040697,494.176,466.93375,
Dm6-166033179-166039679,Zm00001d038864,7.51719,18.50618,
Dm4-42149448-42150123,Zm00001d049737,5.306365,13.868522,
Dm6-159542932-159545322,Zm00001d038540,6.95825,7.4845757,
Dm2-208924476-208925467,Zm00001d006463,5.75384,4.2688694,
Dm2-14713664-14715888,Zm00001d002523,57.12965,54.522987,
Dm1-255034105-255035856,Zm00001d033222,0.8242875,3.454432,
Dm4-102570671-102571246,Zm00001d050584,8.032425,7.0353603,
Dm5-155643553-155645472,Zm00001d016285,16.5698,6.0599065,
Dm2-230341550-230343092,Zm00001d007378,4.6703,8.73008,
Dm2-1718762-1722585,Zm00001d001846,11.95035,12.528878,
Dm2-209792480-209793596,Zm00001d006489,0,4.97018,
Dm4-64856181-64857316,Zm00001d050082,5.761685,8.831934,
Dm7-7299895-7300760,Zm00001d018854,0.4795825,6.023148,
Dm3-199406008-199407209,Zm00001d043425,3.942485,6.3765507,
Dm5-14086796-14100779,Zm00001d013554,5.75674,7.143233,
Dm10-142967436-142967936,Zm00001d026321,3.523565,6.519866,
Dm8-97749597-97751955,Zm00001d010061,16.17535,11.653535,
Dm2-201609423-201610271,Zm00001d006199,241.4395,228.98827,
Dm2-10619912-10620925,Zm00001d002341,27.88025,18.910263,
Dm3-198586991-198587926,Zm00001d043388,0,4.2456136,
Dm10-144193272-144200978,Zm00001d026359,5.546235,15.981732,
Dm3-205826747-205828823,Zm00001d043641,0,4.0490637,
Dm9-154574222-154575949,Zm00001d048329,8.197065,13.569173,
Dm7-156439636-156441157,Zm00001d021576,0.3394765,2.865873,
Dm10-145633063-145634090,Zm00001d026425,27.1056,39.909534,
Dm8-8625946-8627197,Zm00001d008430,24.0054,17.490543,
Dm6-126579795-126581065,Zm00001d037477,12.5525,18.177118,
Dm5-78687653-78688597,Zm00001d015183,17.64575,10.976298,
Dm8-95494745-95495963,Zm00001d010023,20.75225,15.798649,
Dm2-174360979-174361911,Zm00001d005442,10.216495,12.07521,
Dm1-56132347-56134369,Zm00001d029049,165.1445,151.61984,
Dm8-166418606-166419177,Zm00001d012010,8.24569,3.3098931,
Dm9-102453677-102458642,Zm00001d046688,22.20795,28.597363,
Dm6-151943569-151954986,Zm00001d038220,1.590515,9.942727,
Dm6-43154315-43155488,Zm00001d001339,1.28127,12.569569,
Dm9-112768127-112768995,Zm00001d046952,35.192,40.76308,
