Annotation1,Annotation2,exp,pre
Dm7-161131151-161133897,Zm00001d021714,69.37223333,34.015026
Dm9-145944826-145952947,Zm00001d047943,0,0.96871084
Dm8-176082823-176098634,Zm00001d012528,1.885663333,6.5345445
Dm1-27318697-27324791,Zm00001d028231,13.27493333,6.7352867
Dm7-166195466-166199282,Zm00001d021934,0.083464667,9.622582
Dm5-146020233-146025479,Zm00001d016132,0.967649333,4.950529
Dm3-82384329-82392745,Zm00001d040953,1.807376667,16.057999
Dm3-178134752-178141574,Zm00001d042722,4.245613333,5.9916234
Dm5-209994255-209999329,Zm00001d017914,13.2984,3.146884
Dm10-135012592-135015339,Zm00001d025968,0,5.593315
Dm6-118952939-118958489,Zm00001d037271,22.15793333,6.4790573
Dm5-217939005-217946040,Zm00001d018283,0,5.668184
Dm5-189056819-189059451,Zm00001d017213,1.913356667,7.288603
Dm4-194466453-194467630,Zm00001d052604,0,3.683506
Dm2-20643995-20648169,Zm00001d002731,2.533503333,4.9803605
Dm9-158178141-158186165,Zm00001d048540,9.076303333,5.8494043
Dm9-157177812-157180130,Zm00001d048499,15.5117,4.2461853
Dm5-2484375-2489403,Zm00001d012965,3.388183333,3.522137
Dm1-209149751-209153623,Zm00001d032000,0.195123333,2.5566647
Dm6-153060673-153063267,Zm00001d038274,119.8813333,134.72064
Dm5-59887035-59892075,Zm00001d014705,7.71373,9.8087435
Dm4-217437917-217439490,Zm00001d053163,0,3.4716496
Dm3-196777401-196783418,Zm00001d043329,19.98453333,3.873571
Dm2-238835562-238839445,Zm00001d007753,185.4556667,170.59775
Dm2-9597688-9604264,Zm00001d002288,4.707143333,1.2998381
Dm7-124905583-124909245,Zm00001d020609,10.31816333,11.272605
Dm4-246040122-246042366,Zm00001d054078,35.94786667,6.1483097
Dm10-1583558-1589107,Zm00001d023261,4.065446667,7.663639
Dm6-163768037-163771658,Zm00001d038748,0,6.391038
Dm6-163862517-163869710,Zm00001d038753,47.59723333,10.972503
Dm2-163499642-163501377,Zm00001d005205,4.725873333,12.163851
Dm5-160079648-160089856,Zm00001d016379,110.6382333,8.549429
Dm2-198813096-198821788,Zm00001d006115,0.1606138,4.489481
Dm1-17346412-17350697,Zm00001d027908,0,3.8666255
Dm7-146746908-146748179,Zm00001d021242,22.0782,6.360239
Dm5-193768791-193773131,Zm00001d017365,0.434450333,5.836202
Dm1-90347060-90350144,Zm00001d029855,109.9463333,14.665052
Dm8-8651619-8653466,Zm00001d008430,16.70073333,5.967695
Dm8-133663164-133664992,Zm00001d010924,14.62443333,3.4967484
Dm2-191190808-191192698,Zm00001d005864,16.6069,3.7788582
Dm3-128478273-128480480,Zm00001d041585,0,4.9739633
Dm10-133428209-133430356,Zm00001d025907,1.712883333,6.4723644
Dm1-262005282-262013335,Zm00001d033404,7.741946667,18.336905
