Annotation1,Annotation2,exp,pre
Zm00001d026702,Zm00001d026701,4.786795,3.342313
Zm00001d010885,Zm00001d010892,14.3579,8.072484
Zm00001d022154,Zm00001d022155,5.518435,0.59628415
Zm00001d053728,Zm00001d053732,22.3857,14.955035
Zm00001d013241,Zm00001d013245,409.526,115.48229
Zm00001d033640,Zm00001d033635,5.924745,3.8673394
Zm00001d053020,Zm00001d054086,0,0.84845495
Zm00001d048008,Zm00001d048021,237.1065,236.62645
Zm00001d006096,Zm00001d006097,33.2386,33.31809
Zm00001d051047,Zm00001d051048,0.118782,6.430257
Zm00001d047580,Zm00001d047581,9.167125,5.5895653
Zm00001d015101,Zm00001d015115,32.76985,21.209576
Zm00001d007885,Zm00001d007918,0,1.0723755
Zm00001d020695,Zm00001d020697,22.3251,17.943394
Zm00001d018467,Zm00001d018475,0.513415,3.1404207
Zm00001d036002,Zm00001d035993,0.334434,1.7610834
Zm00001d047776,Zm00001d047771,2.231835,1.2423222
Zm00001d047717,Zm00001d047711,0,1.5364645
Zm00001d008440,Zm00001d008443,3.38354,5.4180717
Zm00001d005970,Zm00001d005950,9.5186,4.643901
Zm00001d036762,Zm00001d036764,7.107755,2.5661802
Zm00001d014778,Zm00001d014782,0.531448,1.9476485
Zm00001d049507,Zm00001d049509,0,15.108097
Zm00001d041800,Zm00001d041803,22.6339,19.815207
Zm00001d020323,Zm00001d020325,13.71575,10.947184
Zm00001d014640,Zm00001d013237,0.7253875,1.4523108
Zm00001d032094,Zm00001d032091,0,0.6722188
Zm00001d011654,Zm00001d011655,31.39405,30.248468
Zm00001d048630,Zm00001d048632,8.27102,2.3261807
Zm00001d006626,Zm00001d006622,0,0.26744103
Zm00001d042941,Zm00001d042944,0,1.4539828
Zm00001d016516,Zm00001d016520,9.636595,12.255353
Zm00001d039928,Zm00001d039926,0.51743,1.3734686
Zm00001d036235,Zm00001d036237,1.5209075,0.5113623
Zm00001d040356,Zm00001d040363,0.77596,4.0123825
Zm00001d045184,Zm00001d045181,9.464035,2.1238115
Zm00001d021836,Zm00001d021833,0,2.2779367
Zm00001d033955,Zm00001d033951,6.70388,5.615206
Zm00001d008992,Zm00001d008993,114.9255,118.455765
Zm00001d031638,Zm00001d031636,90.12665,91.39542
Zm00001d005944,Zm00001d005937,0,2.1243417
Zm00001d038532,Zm00001d038537,7.33343,2.4341655
