Annotation1,Annotation2,exp,pre
Zm00001d028372,Zm00001d028361,18.93743333,14.560244
Zm00001d039370,Zm00001d039400,8.614656667,15.239321
Zm00001d005976,Zm00001d005981,9.401386667,15.604693
Zm00001d017689,Zm00001d017692,2.5856,9.282335
Zm00001d009716,Zm00001d009719,29.38953333,24.60038
Zm00001d002954,Zm00001d002953,27.50963333,26.426834
Zm00001d032501,Zm00001d032507,6.77577,3.9983096
Zm00001d005664,Zm00001d005662,16.06753333,13.322619
Zm00001d028672,Zm00001d028671,11.29903333,8.543202
Zm00001d026937,Zm00001d051746,4.690786667,3.086243
Zm00001d003647,Zm00001d003644,16.70823333,14.96422
Zm00001d003166,Zm00001d003160,0.059034,1.5030036
Zm00001d031581,Zm00001d022889,2.24491,0.8493047
Zm00001d045836,Zm00001d045839,0.281245333,1.3217852
Zm00001d009187,Zm00001d009205,11.54826667,14.412117
Zm00001d048540,Zm00001d048552,13.42423333,11.279248
Zm00001d045247,Zm00001d045251,69.88086667,61.677216
Zm00001d043312,Zm00001d043317,41.5873,42.786255
Zm00001d030751,Zm00001d030759,22.3776,4.0743556
Zm00001d011825,Zm00001d011827,21.80636667,13.406782
Zm00001d010470,Zm00001d010482,22.9165,22.532335
Zm00001d053295,Zm00001d053290,10.9329,16.06779
Zm00001d042389,Zm00001d042393,8.861393333,13.051659
Zm00001d017798,Zm00001d017787,10.30172,12.550938
Zm00001d024598,Zm00001d024588,62.7163,64.17293
Zm00001d041788,Zm00001d041789,23.55793333,18.684067
Zm00001d037085,Zm00001d037101,0,0.6938336
Zm00001d008389,Zm00001d008390,25.13446667,22.945007
Zm00001d010640,Zm00001d010613,0.585227667,1.6334088
Zm00001d033750,Zm00001d033751,36.93983333,21.853584
Zm00001d047952,Zm00001d047965,58.7217,49.877453
Zm00001d047491,Zm00001d047498,148.219,141.74443
Zm00001d037258,Zm00001d037252,1.862593333,6.4268866
Zm00001d010061,Zm00001d010060,21.5743,62.874294
Zm00001d009211,Zm00001d009220,10.64326667,13.77537
Zm00001d030010,Zm00001d030023,1.943696667,1.9861002
Zm00001d012047,Zm00001d012049,19.36923333,19.470955
Zm00001d030357,Zm00001d030348,2.121173333,8.841836
Zm00001d029395,Zm00001d029417,7.229656667,7.9108815
Zm00001d011966,Zm00001d011903,1.888173333,2.0336366
Zm00001d017522,Zm00001d017505,18.5192,14.120016
Zm00001d043609,Zm00001d043607,8.78903,2.6647546
