Annotation1,Annotation2,exp,pre
Zm00001d047819,Zm00001d047826,0,1.3123598
Zm00001d036602,Zm00001d036609,16.9489,16.079676
Zm00001d034675,Zm00001d034677,9.248995,11.813081
Zm00001d016439,Zm00001d016440,9.232885,13.502326
Zm00001d001868,Zm00001d001867,0,0.7947769
Zm00001d037109,Zm00001d037108,28.46215,13.873111
Zm00001d005554,Zm00001d005550,10.38174,8.15888
Zm00001d004982,Zm00001d004983,2.01387,19.586056
Zm00001d025303,Zm00001d025305,94.94655,83.921844
Zm00001d032760,Zm00001d032753,0,2.1998274
Zm00001d022331,Zm00001d022324,67.9446,74.63299
Zm00001d022122,Zm00001d022112,55.72225,60.606834
Zm00001d007822,Zm00001d007818,0,0.16692376
Zm00001d005193,Zm00001d005195,7.919145,6.831642
Zm00001d003616,Zm00001d003618,27.60035,36.868576
Zm00001d003395,Zm00001d003397,0,1.5287917
Zm00001d035337,Zm00001d035440,20.21785,20.088818
Zm00001d038204,Zm00001d038203,3.78258,1.5471296
Zm00001d022694,Zm00001d028130,11.9888,17.212719
Zm00001d048410,Zm00001d048409,16.5517,43.580036
Zm00001d034941,Zm00001d034937,25.2452,7.24069
Zm00001d023753,Zm00001d023750,0,1.2388258
Zm00001d011833,Zm00001d011834,2.254115,7.79583
Zm00001d039271,Zm00001d039273,28.71365,33.872013
Zm00001d010652,Zm00001d010649,0,2.0809395
Zm00001d003660,Zm00001d003659,12.0054,20.044556
Zm00001d006128,Zm00001d006127,11.9301,11.072093
Zm00001d012811,Zm00001d012812,14.26885,5.5375443
Zm00001d016898,Zm00001d016899,1.13747,2.2593694
Zm00001d043947,Zm00001d043946,10.756815,35.42893
Zm00001d051910,Zm00001d051911,18.7712,12.038833
Zm00001d029688,Zm00001d029704,1.353335,6.061755
Zm00001d051925,Zm00001d051927,10.9871,7.26746
Zm00001d041700,Zm00001d041699,0,-0.36645436
Zm00001d052153,Zm00001d052154,0.1592425,2.9249337
Zm00001d046936,Zm00001d046937,16.326,11.1700115
Zm00001d034221,Zm00001d034223,56.08825,60.061832
Zm00001d018035,Zm00001d018032,7.286475,10.198211
Zm00001d029177,Zm00001d029174,22.6166,14.1642885
Zm00001d015356,Zm00001d015348,51.70115,44.208668
Zm00001d012562,Zm00001d012561,109.2904,113.23935
Zm00001d019259,Zm00001d019258,0.910981,2.3616076
