Annotation1,Annotation2,exp,pre
Zm00001d022519,Zm00001d022525,57.8909,59.57008
Zm00001d014732,Zm00001d014729,33.1418,29.711535
Zm00001d010892,Zm00001d010885,0.473980333,3.3966284
Zm00001d053858,Zm00001d053862,0,0.21997571
Zm00001d014414,Zm00001d014411,0,0.66532373
Zm00001d022111,Zm00001d022115,6.027076667,8.238075
Zm00001d043796,Zm00001d043730,9.74718,6.412091
Zm00001d012233,Zm00001d012238,5.629776667,4.0922203
Zm00001d054077,Zm00001d054086,0.337478667,0.81799555
Zm00001d047463,Zm00001d047465,0,1.090363
Zm00001d021899,Zm00001d021902,10.11685,10.333462
Zm00001d012710,Zm00001d012707,1.837595667,6.9695582
Zm00001d001904,Zm00001d001894,0.080260333,4.6863947
Zm00001d038510,Zm00001d038506,7.800406667,13.06801
Zm00001d054037,Zm00001d054034,4.98134,5.529135
Zm00001d023330,Zm00001d023335,17.4515,8.090256
Zm00001d042568,Zm00001d042569,7.262173333,4.817022
Zm00001d016903,Zm00001d016897,8.569653333,5.198211
Zm00001d033092,Zm00001d033082,0,1.0201612
Zm00001d041703,Zm00001d041697,3.219506667,8.882743
Zm00001d016535,Zm00001d016542,462.4736667,10.525953
Zm00001d026607,Zm00001d026613,0,3.5763173
Zm00001d022376,Zm00001d022371,216.1513333,219.2143
Zm00001d034715,Zm00001d034719,8.11517,3.2821493
Zm00001d013256,Zm00001d013262,3.206793333,4.904111
Zm00001d023753,Zm00001d023749,13.0546,7.8469315
Zm00001d034245,Zm00001d034251,2.580786667,3.7413855
Zm00001d037547,Zm00001d037550,129.4283333,50.94648
Zm00001d048496,Zm00001d048495,18.8661,4.0768914
Zm00001d025449,Zm00001d025452,21.82636667,15.748739
Zm00001d021968,Zm00001d021963,0,0.38530064
Zm00001d011004,Zm00001d011016,0,2.6794748
Zm00001d052409,Zm00001d052415,0.42552,5.0890646
Zm00001d012817,Zm00001d012813,4.959943333,2.289619
Zm00001d027528,Zm00001d027527,27.3752,21.632395
Zm00001d018417,Zm00001d018414,10.77066667,8.751179
Zm00001d020363,Zm00001d020361,26.69646667,2.261394
Zm00001d023434,Zm00001d023401,0,2.116592
Zm00001d047743,Zm00001d047740,0.122867333,2.608675
Zm00001d016890,Zm00001d016879,3.61117,5.158712
Zm00001d042308,Zm00001d042305,52.68413333,42.399853
Zm00001d049292,Zm00001d049282,34.12156667,1.413383
